x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89630.0674883,43130.6945594,0,0,0,0.890873539370415,0.454251402694179,8.33333333333333
89629.6463152186,43131.265929173,0,0,0,0.890713796349354,0.454564553163707,8.33333333333333
89629.2280630159,43131.8393996853,0,0,0,0.890386529683975,0.45520525892978,8.33333333333333
89628.8124189027,43132.4147434733,0,0,0,0.889933776008257,0.456089765637956,8.33333333333333
89628.3990700895,43132.9917330733,0,0,0,0.889397649672809,0.457134357444815,8.33333333333333
89627.9877037871,43133.5701410215,0,0,0,0.888820532326406,0.458255454211953,8.33333333333333
89627.5780072063,43134.1497398542,0,0,0,0.888245183930646,0.459369669464597,8.33333333333333
89627.1696675577,43134.7303021078,0,0,0,0.887714775425215,0.460393828685572,8.33333333333333
89626.762372052,43135.3116003186,0,0,0,0.887272843360866,0.461244947326607,8.33333333333333
89626.3558107127,43135.8934093642,0,0,0,0.886960298285044,0.461845676894465,8.33333333333333
89625.9497170882,43136.4755403563,0,0,0,0.886773665744913,0.462203922247886,8.33333333333333
89625.5438589848,43137.0578329253,0,0,0,0.886674278544179,0.46239455421551,8.33333333333333
89625.1380051343,43137.640127472,0,0,0,0.886622330137579,0.462494155315946,8.33333333333333
89624.7319290274,43138.2222676922,0,0,0,0.886578363430376,0.462578431724953,8.33333333333333
89624.3256034559,43138.804235267,0,0,0,0.88652107301894,0.462688218018729,8.33333333333333
89623.9192687096,43139.3861970792,0,0,0,0.886453553332937,0.462817564255517,8.33333333333333
89623.5131838472,43139.9683330061,0,0,0,0.886380614687223,0.462957239825345,8.33333333333333
89623.1076073927,43140.5508225534,0,0,0,0.886307058319734,0.463098044017269,8.33333333333333
89622.7026563699,43141.1337469363,0,0,0,0.886233929645831,0.463237975499104,8.33333333333333
89622.2981170578,43141.716957624,0,0,0,0.886153480189268,0.463391853131288,8.33333333333333
89621.8937285558,43142.3002733128,0,0,0,0.886056695619824,0.463576889142761,8.33333333333333
89621.489229963,43142.8835126991,0,0,0,0.885934544816341,0.463810286972015,8.33333333333333
89621.0844686685,43143.4665696467,0,0,0,0.885778281891373,0.464108646040524,8.33333333333333
89620.6797536729,43144.0496584393,0,0,0,0.885580447850634,0.464486028191022,8.33333333333333
89620.2755169542,43144.6330787233,0,0,0,0.885333893215541,0.464955801688518,8.33333333333333
89619.8721904913,43145.2171301455,0,0,0,0.885031413707714,0.465531305875905,8.33333333333333
89619.4701644263,43145.8020825904,0,0,0,0.884666189843316,0.466224980613555,8.33333333333333
89619.0694927982,43146.3879668412,0,0,0,0.884234976871997,0.467042295382526,8.33333333333333
89618.6700677925,43146.9746985398,0,0,0,0.883736224186646,0.467985348125698,8.33333333333333
89618.271780558,43147.5621925905,0,0,0,0.883168329790782,0.469056181341382,8.33333333333333
89617.8745402765,43148.1503770052,0,0,0,0.882526349572466,0.470262950178193,8.33333333333333
