x,y,z,qx,qy,qz,qw,speed
89631,43131.4,0,0,0,0.415344,0.909664,9.44444
89629.3,43134.1,0,0,0,0.890793,0.454409,9.44444
89627.4,43136.7,0,0,0,0.876501,0.4814,9.44444
89625.5,43139.3,0,0,0,0.873993,0.485939,9.44444
89623.7,43141.8,0,0,0,0.886924,0.461916,9.44444
89622.2,43144,0,0,0,0.896129,0.443795,9.44444
89620.4,43146.2,0,0,0,0.900123,0.435635,9.44444
89618.7,43148.4,0,0,0,0.883973,0.467538,9.44444
89616.9,43151,0,0,0,0.934258,0.356597,9.44444
89615.4,43153.2,0,0,0,0.903832,0.427887,8.33333
89614.1,43155.8,0,0,0,0.864187,0.503171,8.33333
89613.3,43158.5,0,0,0,0.754179,0.656669,8.33333
89612.9,43161.1,0,0,0,0.467689,0.883893,8.33333
89613.9,43163.9,0,0,0,0.362729,0.931895,8.33333
89616.1,43166,0,0,0,-0.106194,0.994345,8.33333
89619.4,43166.8,0,0,0,-0.151494,0.988458,8.33333
89622.5,43165.8,0,0,0,-0.50276,0.864426,8.33333
89624.2,43163.8,0,0,0,-0.510216,0.860046,9.44444
89625.7,43161.1,0,0,0,-0.50772,0.861522,9.44444
89627.2,43158.5,0,0,0,-0.535709,0.844403,9.44444
89628.5,43155.8,0,0,0,-0.557544,0.830147,9.44444
89629.6,43153,0,0,0,-0.569087,0.822278,9.44444
89630.6,43150.2,0,0,0,-0.477121,0.878837,9.44444
89631.9,43147.8,0,0,0,-0.497312,0.867572,9.44444
89633.2,43145.5,0,0,0,-0.518697,0.854958,9.44444
89634.5,43143.1,0,0,0,-0.49334,0.869836,8.33333
89636.1,43140.3,0,0,0,-0.352614,0.935769,8.33333
89638.1,43138.3,0,0,0,-0.272334,0.962203,8.33333
89640.3,43137,0,0,0,0.0306212,0.999531,8.33333
89642.8,43136.6,0,0,0,0.137708,0.990473,8.33333
89645.4,43137.4,0,0,0,0.321983,0.946746,8.33333
89647.2,43139.2,-3.05172e-05,0,0,0.643108,0.765775,8.33333
89647.6,43141.8,-2.97537e-05,0,0,0.800621,0.599171,8.33333
89646.8,43144.6,-3.04424e-05,0,0,0.863084,0.50506,8.33333
89645.3,43147.3,-3.05004e-05,0,0,0.745408,0.666608,9.44444
89643.4,43149.7,-3.00164e-05,0,0,0.721435,0.692482,9.44444
89641.6,43152.1,-6.03628e-05,0,0,0.694595,0.719401,9.44444
89639.7,43154.3,-6.0051e-05,0,0,0.669128,0.743148,9.44444
89638.3,43156.5,-6.07288e-05,0,0,0.753099,0.657907,9.44444
89636.6,43158.5,-9.09382e-05,0,0,0.772489,0.635029,9.44444
89634.7,43160.9,-6.09851e-05,0,0,0.793263,0.608879,9.44444
89632.9,43163.7,-5.97353e-05,0,0,0.806327,0.59147,9.44444
