x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89631,43131.4,0,0,0,0.875446534542925,0.483314975100899,8.33333333333333
89630.6522258538,43132.0153878908,0,0,0,0.876726442695668,0.480989339464191,8.33333333333333
89630.2865340809,43132.6185956877,0,0,0,0.878423429333288,0.477883122529292,8.33333333333333
89629.9054810708,43133.2113631115,0,0,0,0.880408646978997,0.474215788776177,8.33333333333333
89629.5116232131,43133.7954298833,0,0,0,0.8825555634282,0.470208121433406,8.33333333333333
89629.1075168975,43134.372535724,0,0,0,0.884741100480252,0.466082809295722,8.33333333333333
89628.6957185135,43134.9444203544,0,0,0,0.886846213770347,0.4620647066388,8.33333333333333
89628.2787844507,43135.5128234955,0,0,0,0.888755905180804,0.458380781672017,8.33333333333333
89627.8592710987,43136.0794848683,0,0,0,0.890358658546007,0.455259771067195,8.33333333333333
89627.4397348471,43136.6461441937,0,0,0,0.891545290755273,0.452931556123104,8.33333333333333
89627.0222815592,43137.2142323954,0,0,0,0.892226750902548,0.451587671414846,8.33333333333333
89626.6066176857,43137.7835358056,0,0,0,0.892416221483297,0.451213128835449,8.33333333333333
89626.191654071,43138.3532954364,0,0,0,0.892158172578394,0.451723139878378,8.33333333333333
89625.7763010395,43138.9227519438,0,0,0,0.891494484790386,0.453031548115938,8.33333333333333
89625.3594959591,43139.4911653414,0,0,0,0.890466984825704,0.455047853456555,8.33333333333333
89624.9417614759,43140.0589303966,0,0,0,0.889219581300631,0.457480640280581,8.33333333333333
89624.5260561926,43140.6281855522,0,0,0,0.888057640730436,0.459732124981811,8.33333333333333
89624.1155457956,43141.201217483,0,0,0,0.88730588379646,0.461181383601054,8.33333333333333
89623.7133959713,43141.7803128637,0,0,0,0.887291610128305,0.461208844880407,8.33333333333333
89623.3208718388,43142.3663590839,0,0,0,0.88825005017158,0.459360259894329,8.33333333333333
89622.9308252125,43142.9540492704,0,0,0,0.890021011486898,0.455919509466132,8.33333333333333
89622.5337806473,43143.5363631139,0,0,0,0.892334576928271,0.451374570416017,8.33333333333333
89622.120282548,43144.1062951818,0,0,0,0.894925109838899,0.446216368794147,8.33333333333333
