x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89630.0674883,43130.6945594,0,0,0,0.890873539370415,0.454251402694179,8.33333333333333
89629.8567278914,43130.9796815023,0,0,0,0.890817320173066,0.454361642394774,8.33333333333333
89629.6467353007,43131.2653561429,0,0,0,0.890714047032765,0.454564061952233,8.33333333333333
89629.4374715466,43131.5515549744,0,0,0,0.890568969099156,0.454848228838661,8.33333333333333
89629.2288976478,43131.8382496489,0,0,0,0.890387324257498,0.455203704731819,8.33333333333333
89629.020974623,43132.1254118188,0,0,0,0.890174348081628,0.455620050060848,8.33333333333333
89628.8136634906,43132.4130131366,0,0,0,0.889935281566958,0.456086827942157,8.33333333333333
89628.6069252694,43132.7010252544,0,0,0,0.889675377642114,0.456593607508211,8.33333333333333
89628.4007209779,43132.9894198246,0,0,0,0.889399906458955,0.457129966629626,8.33333333333333
89628.195011635,43133.2781684997,0,0,0,0.889114159461758,0.457685494029046,8.33333333333333
89627.989758259,43133.5672429318,0,0,0,0.888823452237083,0.458249790783753,8.33333333333333
89627.7849218688,43133.8566147734,0,0,0,0.888533126146452,0.458812471212818,8.33333333333333
89627.5804634829,43134.1462556767,0,0,0,0.888248548744364,0.459363163143858,8.33333333333333
89627.37634412,43134.4361372942,0,0,0,0.887975112984342,0.459891507554167,8.33333333333333
89627.1725247986,43134.7262312781,0,0,0,0.887718235215708,0.460387157580997,8.33333333333333
89626.9689665376,43135.0165092808,0,0,0,0.887483351973548,0.460839776896261,8.33333333333333
89626.7656303554,43135.3069429546,0,0,0,0.887275915563913,0.46123903744178,8.33333333333333
89626.5624772784,43135.5975039583,0,0,0,0.887101380512236,0.461574631769647,8.33333333333333
89626.3594709882,43135.888166161,0,0,0,0.886962496977268,0.461841454349704,8.33333333333333
89626.1565816815,43136.1789088557,0,0,0,0.886855358279684,0.462047155050881,8.33333333333333
89625.9537805367,43136.4697121524,0,0,0,0.886775035358468,0.462201294529761,8.33333333333333
89625.7510387319,43136.7605561611,0,0,0,0.886716582315168,0.462313424688606,8.33333333333333
89625.5483274453,43137.0514209918,0,0,0,0.886675041449923,0.462393091286816,8.33333333333333
89625.3456178552,43137.3422867543,0,0,0,0.88664544726848,0.462449836023408,8.33333333333333
89625.1428811398,43137.6331335588,0,0,0,0.886622829461649,0.462493198087734,8.33333333333333
89624.9400884773,43137.9239415151,0,0,0,0.886602214858069,0.462532715176739,8.33333333333333
89624.7372153412,43138.214693707,0,0,0,0.88657902026708,0.462577172828778,8.33333333333333
89624.5342745989,43138.505399108,0,0,0,0.886552073109324,0.46262881629397,8.33333333333333
89624.3312983765,43138.7960800251,0,0,0,0.886521957787618,0.462686522778014,8.33333333333333
89624.1283189592,43139.0867588755,0,0,0,0.886489273395373,0.46274914171173,8.33333333333333
89623.9253686322,43139.3774580764,0,0,0,0.88645461925502,0.462815522645295,8.33333333333333
89623.7224796807,43139.6682000449,0,0,0,0.886418594974276,0.462884515277656,8.33333333333333
89623.5196843899,43139.9590071984,0,0,0,0.886381800487494,0.462954969478185,8.33333333333333
89623.317015045,43140.2499019541,0,0,0,0.886344836082088,0.463025735300551,8.33333333333333
89623.1145035317,43140.5409064515,0,0,0,0.886308291791322,0.46309568331172,8.33333333333333
89622.9121577407,43140.8320261629,0,0,0,0.886272120236443,0.463164904641533,8.33333333333333
89622.7099483592,43141.1232407172,0,0,0,0.886235285003393,0.463235382516226,8.33333333333333
89622.5078428722,43141.4145275195,0,0,0,0.886196663916697,0.463309262656076,8.33333333333333
89622.3058087651,43141.7058639748,0,0,0,0.886155134057391,0.463388690392555,8.33333333333333
89622.1038135231,43141.9972274883,0,0,0,0.886109571654682,0.463475810611467,8.33333333333333
89621.9018246314,43142.2885954648,0,0,0,0.886058851925683,0.463572767668832,8.33333333333333
89621.6998095754,43142.5799453095,0,0,0,0.886001848863255,0.463681705279488,8.33333333333333
89621.4977358401,43142.8712544274,0,0,0,0.885937434971977,0.463804766378348,8.33333333333333
89621.2955819529,43143.1625078881,0,0,0,0.885864512524941,0.463944032668757,8.33333333333333
89621.0933834168,43143.4537303101,0,0,0,0.885782144634664,0.464101273696179,8.33333333333333
89620.8911940585,43143.7449590308,0,0,0,0.885689444559747,0.464278157784154,8.33333333333333
89620.6890677133,43144.0362313937,0,0,0,0.885585523011196,0.464476351855492,8.33333333333333
89620.4870582168,43144.3275847424,0,0,0,0.885469487741477,0.464697521274696,8.33333333333333
